key,value
"'PRODUTTORE ","'SPAZIO SOC COOP "
"'CLIENTE ","'SPAZIO SOC COOP "
"'Unit. Loc. ","'Via S. Agostino, 2 51100 PISTOIA (PT) "
"'Operatore ","'Francesca Buffolino - Mob. 327 6613420 "
"'Referente ","'MICHELE "
"'CF Produttore ","'06721950480 "
"'Telefono ","'3395833947 "
"'MANODOPERA ","'"
"'Email Cliente ","'magazzinologistical@gmail.com "
"'Data Richiesta ","'19/01/2022 "
"'Orario richiesta ","'10:00 "
"'ORA PARTENZA DA EUROCORPORATION: ","'"
"'Email Produttore ","'magazzinologistical@gmail.com "
"'ORA RIENTRO IN EUROCORPORATION: ","'"
"'ZTL ","'NOT_SELECTED"
"'UTILIZZO RAGNO ","'"
"'Dalle ","'09:00 "
"'Alle ","'13:00 "
"'ORA DI INIZIO: ","'"
"'PER LA LOGISTICA: ","'SCHEDA FATTA DA MATILDE. CHIAMARE PER COMUNICARE GIORNO E ORARIO. PREFERIBILMENTE IL POMERIGGIO CHIAMARE MICHELE AL 339/5833947 UN'ORA PRIMA DI ARRIVARE. CAMBIO CASSONE 30MC COPERTO. "
"'ORA DI FINE: ","'"
"'ATTESA AL CARICO ","'"
"'Dalle ","'14:00 "
"'Alle ","'17:00 "
"'ORA ARRIVO: ","'"
"'ORA PARTENZA: ","'"
"'ORA ARRIVO: ","'"
"'SI ","'NOT_SELECTED"
"'NO ","'NOT_SELECTED"
"'FIRMA PER PRESA VISIONE ","'"
"'SF ","'Solido non pulverulento "
"'ADR ","'NOT_SELECTED"
"'Classe Pericolo: ","'"
"'Destino: ","'R13 "
"'Confezionamento: ","'CASSONE 30MC "
"'Destinazione: ","'EUROCORPORATION "
